"","Film","Year","Category","Ratings","Runtime","Stars","Brief"
"25","Tangled","(2010)","Animation, Adventure, Comedy            ","7.7","100 min","
Mandy Moore, 
Zachary Levi, 
Donna Murphy, 
Ron Perlman
    ","
The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
"26","Hedwig and the Angry Inch","(2001)","Comedy, Drama, Music            ","7.7","95 min","
John Cameron Mitchell, 
Miriam Shor, 
Stephen Trask, 
Theodore Liscinski
    ","
A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs."
"27","South Park: Bigger, Longer & Uncut","(1999)","Animation, Comedy, Fantasy            ","7.7","81 min","
Trey Parker, 
Matt Stone, 
Mary Kay Bergman, 
Isaac Hayes
    ","
When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
"28","The Muppet Christmas Carol","(1992)","Comedy, Drama, Family            ","7.7","85 min","
Michael Caine, 
Dave Goelz, 
Steve Whitmire, 
Jerry Nelson
    ","
The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve."
"29","The Music Man","(1962)","Comedy, Family, Musical            ","7.7","151 min","
Robert Preston, 
Shirley Jones, 
Buddy Hackett, 
Hermione Gingold
    ","
Harold Hill poses as a boys' band leader to con naive Iowa townsfolk."
"30","Yankee Doodle Dandy","(1942)","Biography, Drama, Music            ","7.7","126 min","
James Cagney, 
Joan Leslie, 
Walter Huston, 
Richard Whorf
    ","
The life of the renowned musical composer, playwright, actor, dancer, and singer George M. Cohan."
"31","Fantasia","(1940)","Animation, Family, Fantasy            ","7.7","125 min","
Leopold Stokowski, 
Deems Taylor, 
The Philadelphia Orchestra, 
Corey Burton
    ","
A collection of animated interpretations of great works of Western classical music."
"32","Moana","(I) (2016)","Animation, Adventure, Comedy            ","7.6","107 min","
Auli'i Cravalho, 
Dwayne Johnson, 
Rachel House, 
Temuera Morrison
    ","
In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
"33","Les Misérables","(2012)","Drama, History, Musical            ","7.6","158 min","
Hugh Jackman, 
Russell Crowe, 
Anne Hathaway, 
Amanda Seyfried
    ","
In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
"34","The Greatest Showman","(2017)","Biography, Drama, Musical            ","7.6","105 min","
Hugh Jackman, 
Michelle Williams, 
Zac Efron, 
Zendaya
    ","
Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation."
"35","Moulin Rouge!","(2001)","Drama, Musical, Romance            ","7.6","127 min","
Nicole Kidman, 
Ewan McGregor, 
John Leguizamo, 
Jim Broadbent
    ","
A poet falls for a beautiful courtesan whom a jealous duke covets."
"36","Mulan","(1998)","Animation, Adventure, Family            ","7.6","88 min","
Ming-Na Wen, 
Eddie Murphy, 
BD Wong, 
Miguel Ferrer
    ","
To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process."
"37","The Little Mermaid","(1989)","Animation, Family, Fantasy            ","7.6","83 min","
Jodi Benson, 
Samuel E. Wright, 
Rene Auberjonois, 
Christopher Daniel Barnes
    ","
A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love."
"38","The Muppet Movie","(1979)","Adventure, Comedy, Family            ","7.6","95 min","
Jim Henson, 
Frank Oz, 
Jerry Nelson, 
Richard Hunt
    ","
Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit."
"39","Hair","(1979)","Comedy, Drama, Musical            ","7.6","121 min","
John Savage, 
Treat Williams, 
Beverly D'Angelo, 
Annie Golden
    ","
Claude Bukowski leaves the family ranch in Oklahoma for New York where he is rapidly embraced into the hippie group of youngsters led by Berger, yet he's already been drafted. He soon falls in love with Sheila Franklin, a rich girl but still a rebel inside."
"40","The Many Adventures of Winnie the Pooh","(1977)","Animation, Adventure, Comedy            ","7.6","74 min","
Sebastian Cabot, 
Junius Matthews, 
Barbara Luddy, 
Howard Morris
    ","
In this collection of animated shorts based on the stories and characters by A.A. Milne, Winnie the Pooh, a honey-loving teddy bear, embarks on some eccentric adventures."
"41","Robin Hood","(1973)","Animation, Adventure, Comedy            ","7.6","83 min","
Brian Bedford, 
Phil Harris, 
Roger Miller, 
Peter Ustinov
    ","
The story of the legendary British outlaw is portrayed with the characters as humanoid animals."
"42","The Jungle Book","(1967)","Animation, Adventure, Family            ","7.6","78 min","
Phil Harris, 
Sebastian Cabot, 
Louis Prima, 
Bruce Reitherman
    ","
Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization."
"43","A Hard Day's Night","(1964)","Comedy, Musical            ","7.6","87 min","
John Lennon, 
Paul McCartney, 
George Harrison, 
Ringo Starr
    ","
Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live television performance."
"44","White Christmas","(1954)","Comedy, Musical, Romance            ","7.6","120 min","
Bing Crosby, 
Danny Kaye, 
Rosemary Clooney, 
Vera-Ellen
    ","
A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general."
"45","A Star Is Born","(1954)","Drama, Musical, Romance            ","7.6","154 min","
Judy Garland, 
James Mason, 
Jack Carson, 
Charles Bickford
    ","
A film star helps a young singer and actress find fame, even as age and alcoholism send his own career on a downward spiral."
"46","Snow White and the Seven Dwarfs","(1937)","Animation, Family, Fantasy            ","7.6","83 min","
Adriana Caselotti, 
Harry Stockwell, 
Lucille La Verne, 
Lem Wright
    ","
Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household."
"47","A Day at the Races","(1937)","Comedy, Musical, Sport            ","7.6","111 min","
Groucho Marx, 
Chico Marx, 
Harpo Marx, 
Allan Jones
    ","
A veterinarian posing as a doctor and a race-horse owner and his friends struggle to help keep a sanitarium open with the help of a misfit race-horse."
"48","Swing Time","(1936)","Comedy, Musical, Romance            ","7.6","103 min","
Fred Astaire, 
Ginger Rogers, 
Victor Moore, 
Helen Broderick
    ","
Roguish gambler/dancer ""Lucky"" Garnett is challenged by his fiance's father to come up with $25,000 to prove he's worthy of her hand. But after he falls in love with a dance instructor, Lucky'll do anything to keep from earning the bucks."
"49","Horse Feathers","(1932)","Comedy, Musical, Romance            ","7.6","68 min","
Groucho Marx, 
Chico Marx, 
Harpo Marx, 
The Marx Brothers
    ","
Quincy Adams Wagstaff, the new president of Huxley University, accidentally hires bumblers Baravelli and Pinky to help his school win the big football game against the rival Darwin University."
"50","In the Heights","(2021)","Drama, Music, Musical            ","7.5","143 min","
Anthony Ramos, 
Corey Hawkins, 
Leslie Grace, 
Melissa Barrera
    ","
A film version of the Broadway musical in which Usnavi, a sympathetic New York bodega owner, saves every penny every day as he imagines and sings about a better life."
